stations;Id_bss;code_stations;date;Vigilance;Alerte;Alerte renforcee;Crise
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Avril;268.84;268.28;267.98;267.74
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Mai;268.72;267.99;267.61;267.29
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Juin;268.55;267.69;267.25;266.88
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Juillet;267.94;267.3;266.96;266.68
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Août;267.24;266.74;266.48;266.27
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Septembre;266.75;266.02;265.64;265.33
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Octobre;266.55;265.52;264.98;264.54
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Novembre;266.9;265.71;265.09;264.57
Forage - l Hotel (Charpey - BRGM 26);BSS001ZAMA;08191X0022/P;Décembre;267.95;266.5;265.74;265.12
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Janvier;161.91;161.12;160.7;160.36
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Février;162.02;161.22;160.81;160.46
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Mars;162.05;161.28;160.88;160.55
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Avril;162.02;161.31;160.93;160.62
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Mai;162.07;161.4;161.04;160.75
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Juin;161.82;161.25;160.95;160.71
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Juillet;161.35;160.77;160.46;160.21
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Août;161.04;160.47;160.18;159.93
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Septembre;160.94;160.35;160.04;159.79
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Octobre;161.17;160.46;160.1;159.79
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Novembre;161.43;160.69;160.31;159.99
PUITS - BERNOIR (MONTMEYRAND - BRGM 26) - BSH;BSS001ZAGC;08188X0045/BERN;Décembre;161.71;160.89;160.47;160.12
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Janvier;169.57;168.9;168.56;168.27
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Février;169.55;168.91;168.58;168.3
PZ4 AVAL CET;BSS004NBZY;BSS004NBZY/X;Mars;169.55;168.92;168.59;168.32
